Susceptible, Exposed, Infectious, Recovered, Scenario, timestep
12, 12, 3, 0,base, 0.6
18, 6, 3, 0,base, 0.6
14, 10, 3, 0,base, 0.6
14, 10, 3, 0,base, 0.6
16, 8, 3, 0,base, 0.6
16, 8, 3, 0,base, 0.6
11, 13, 3, 0,base, 0.6
16, 8, 3, 0,base, 0.6
16, 8, 3, 0,base, 0.6
13, 11, 3, 0,base, 0.6
16, 8, 3, 0,base, 0.6
11, 13, 3, 0,base, 0.6
13, 11, 3, 0,base, 0.6
15, 9, 3, 0,base, 0.6
15, 9, 3, 0,base, 0.6
16, 8, 3, 0,base, 0.6
12, 12, 3, 0,base, 0.6
14, 10, 3, 0,base, 0.6
13, 11, 3, 0,base, 0.6
16, 8, 3, 0,base, 0.6
15, 9, 3, 0,base, 0.6
9, 15, 3, 0,base, 0.6
17, 7, 3, 0,base, 0.6
14, 10, 3, 0,base, 0.6
12, 12, 3, 0,base, 0.6
14, 10, 3, 0,base, 0.6
14, 10, 3, 0,base, 0.6
17, 7, 3, 0,base, 0.6
16, 8, 3, 0,base, 0.6
11, 13, 3, 0,base, 0.6
14, 10, 3, 0,base, 0.6
14, 10, 3, 0,base, 0.6
13, 11, 3, 0,base, 0.6
15, 9, 3, 0,base, 0.6
15, 9, 3, 0,base, 0.6
12, 12, 3, 0,base, 0.6
13, 11, 3, 0,base, 0.6
18, 6, 3, 0,base, 0.6
13, 11, 3, 0,base, 0.6
15, 9, 3, 0,base, 0.6
17, 7, 3, 0,base, 0.6
17, 7, 3, 0,base, 0.6
13, 11, 3, 0,base, 0.6
13, 11, 3, 0,base, 0.6
17, 7, 3, 0,base, 0.6
16, 8, 3, 0,base, 0.6
11, 13, 3, 0,base, 0.6
19, 5, 3, 0,base, 0.6
17, 7, 3, 0,base, 0.6
18, 6, 3, 0,base, 0.6
14, 10, 3, 0,base, 0.6
14, 10, 3, 0,base, 0.6
16, 8, 3, 0,base, 0.6
14, 10, 3, 0,base, 0.6
12, 12, 3, 0,base, 0.6
20, 4, 3, 0,base, 0.6
13, 11, 3, 0,base, 0.6
18, 6, 3, 0,base, 0.6
13, 11, 3, 0,base, 0.6
18, 6, 3, 0,base, 0.6
11, 13, 3, 0,base, 0.6
16, 8, 3, 0,base, 0.6
16, 8, 3, 0,base, 0.6
