Susceptible, Exposed, Infectious, Recovered, Scenario, timestep
94, 56, 3, 0,base, 1
105, 45, 3, 0,base, 1
100, 50, 3, 0,base, 1
101, 49, 3, 0,base, 1
115, 35, 3, 0,base, 1
100, 50, 3, 0,base, 1
113, 37, 3, 0,base, 1
88, 62, 3, 0,base, 1
112, 38, 3, 0,base, 1
103, 47, 3, 0,base, 1
87, 63, 3, 0,base, 1
106, 44, 3, 0,base, 1
76, 74, 3, 0,base, 1
100, 50, 3, 0,base, 1
112, 38, 3, 0,base, 1
114, 36, 3, 0,base, 1
105, 45, 3, 0,base, 1
104, 46, 3, 0,base, 1
97, 53, 3, 0,base, 1
100, 50, 3, 0,base, 1
97, 53, 3, 0,base, 1
101, 49, 3, 0,base, 1
101, 49, 3, 0,base, 1
102, 48, 3, 0,base, 1
111, 39, 3, 0,base, 1
110, 40, 3, 0,base, 1
97, 53, 3, 0,base, 1
94, 56, 3, 0,base, 1
95, 55, 3, 0,base, 1
84, 66, 3, 0,base, 1
98, 52, 3, 0,base, 1
85, 65, 3, 0,base, 1
105, 45, 3, 0,base, 1
104, 46, 3, 0,base, 1
102, 48, 3, 0,base, 1
102, 48, 3, 0,base, 1
97, 53, 3, 0,base, 1
112, 38, 3, 0,base, 1
100, 50, 3, 0,base, 1
102, 48, 3, 0,base, 1
107, 43, 3, 0,base, 1
103, 47, 3, 0,base, 1
96, 54, 3, 0,base, 1
96, 54, 3, 0,base, 1
97, 53, 3, 0,base, 1
105, 45, 3, 0,base, 1
98, 52, 3, 0,base, 1
113, 37, 3, 0,base, 1
104, 46, 3, 0,base, 1
94, 56, 3, 0,base, 1
84, 66, 3, 0,base, 1
91, 59, 3, 0,base, 1
98, 52, 3, 0,base, 1
100, 50, 3, 0,base, 1
106, 44, 3, 0,base, 1
105, 45, 3, 0,base, 1
101, 49, 3, 0,base, 1
112, 38, 3, 0,base, 1
102, 48, 3, 0,base, 1
100, 50, 3, 0,base, 1
109, 41, 3, 0,base, 1
83, 67, 3, 0,base, 1
120, 30, 3, 0,base, 1
97, 53, 3, 0,base, 1
106, 44, 3, 0,base, 1
95, 55, 3, 0,base, 1
92, 58, 3, 0,base, 1
104, 46, 3, 0,base, 1
94, 56, 3, 0,base, 1
107, 43, 3, 0,base, 1
117, 33, 3, 0,base, 1
99, 51, 3, 0,base, 1
101, 49, 3, 0,base, 1
96, 54, 3, 0,base, 1
106, 44, 3, 0,base, 1
107, 43, 3, 0,base, 1
104, 46, 3, 0,base, 1
82, 68, 3, 0,base, 1
113, 37, 3, 0,base, 1
101, 49, 3, 0,base, 1
110, 40, 3, 0,base, 1
95, 55, 3, 0,base, 1
97, 53, 3, 0,base, 1
98, 52, 3, 0,base, 1
91, 59, 3, 0,base, 1
114, 36, 3, 0,base, 1
111, 39, 3, 0,base, 1
104, 46, 3, 0,base, 1
94, 56, 3, 0,base, 1
105, 45, 3, 0,base, 1
107, 43, 3, 0,base, 1
114, 36, 3, 0,base, 1
107, 43, 3, 0,base, 1
99, 51, 3, 0,base, 1
84, 66, 3, 0,base, 1
96, 54, 3, 0,base, 1
97, 53, 3, 0,base, 1
112, 38, 3, 0,base, 1
109, 41, 3, 0,base, 1
101, 49, 3, 0,base, 1
86, 64, 3, 0,base, 1
98, 52, 3, 0,base, 1
111, 39, 3, 0,base, 1
106, 44, 3, 0,base, 1
90, 60, 3, 0,base, 1
90, 60, 3, 0,base, 1
93, 57, 3, 0,base, 1
110, 40, 3, 0,base, 1
102, 48, 3, 0,base, 1
117, 33, 3, 0,base, 1
103, 47, 3, 0,base, 1
118, 32, 3, 0,base, 1
114, 36, 3, 0,base, 1
97, 53, 3, 0,base, 1
96, 54, 3, 0,base, 1
111, 39, 3, 0,base, 1
97, 53, 3, 0,base, 1
105, 45, 3, 0,base, 1
82, 68, 3, 0,base, 1
92, 58, 3, 0,base, 1
113, 37, 3, 0,base, 1
85, 65, 3, 0,base, 1
90, 60, 3, 0,base, 1
94, 56, 3, 0,base, 1
95, 55, 3, 0,base, 1
103, 47, 3, 0,base, 1
99, 51, 3, 0,base, 1
101, 49, 3, 0,base, 1
109, 41, 3, 0,base, 1
109, 41, 3, 0,base, 1
98, 52, 3, 0,base, 1
97, 53, 3, 0,base, 1
90, 60, 3, 0,base, 1
105, 45, 3, 0,base, 1
112, 38, 3, 0,base, 1
98, 52, 3, 0,base, 1
93, 57, 3, 0,base, 1
92, 58, 3, 0,base, 1
103, 47, 3, 0,base, 1
95, 55, 3, 0,base, 1
107, 43, 3, 0,base, 1
100, 50, 3, 0,base, 1
98, 52, 3, 0,base, 1
100, 50, 3, 0,base, 1
92, 58, 3, 0,base, 1
102, 48, 3, 0,base, 1
103, 47, 3, 0,base, 1
96, 54, 3, 0,base, 1
93, 57, 3, 0,base, 1
98, 52, 3, 0,base, 1
105, 45, 3, 0,base, 1
97, 53, 3, 0,base, 1
96, 54, 3, 0,base, 1
106, 44, 3, 0,base, 1
99, 51, 3, 0,base, 1
100, 50, 3, 0,base, 1
92, 58, 3, 0,base, 1
